Id_220,Id_107,ParameterId_220,CatalogItemId_220,ParameterId_107,CatalogItemId_107,conflict_type
2003,2565,358,1163,358,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2006,2562,358,1368,358,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2010,2579,361,1375,361,1375,BUSINESS_DUPLICATE_DIFFERENT_ID
2011,2570,361,1144,361,1144,BUSINESS_DUPLICATE_DIFFERENT_ID
2013,2578,361,1376,361,1376,BUSINESS_DUPLICATE_DIFFERENT_ID
2024,2571,361,1370,361,1370,BUSINESS_DUPLICATE_DIFFERENT_ID
2030,2602,362,1370,362,1370,BUSINESS_DUPLICATE_DIFFERENT_ID
2031,2598,362,1375,362,1375,BUSINESS_DUPLICATE_DIFFERENT_ID
2032,2592,362,1144,362,1144,BUSINESS_DUPLICATE_DIFFERENT_ID
2033,2595,362,1376,362,1376,BUSINESS_DUPLICATE_DIFFERENT_ID
2042,2608,363,1368,363,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2044,2606,363,1163,363,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2065,2623,366,1163,366,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2066,2625,367,1368,367,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2084,2650,382,1144,382,1144,BUSINESS_DUPLICATE_DIFFERENT_ID
2091,2649,382,1375,382,1375,BUSINESS_DUPLICATE_DIFFERENT_ID
2106,2676,386,1163,386,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2111,2680,386,1368,386,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2117,2686,387,1368,387,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2119,2687,387,1163,387,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2126,2694,388,1368,388,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2128,2690,388,1163,388,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2133,2701,389,1368,389,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2134,2699,389,1163,389,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2136,2703,390,1368,390,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2143,2708,390,1163,390,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2146,2712,391,1368,391,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2149,2717,391,1163,391,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2154,2726,392,1368,392,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2160,2720,392,1163,392,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2175,2735,394,1163,394,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2178,2738,394,1368,394,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2181,2739,395,1163,395,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2182,2742,395,1368,395,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2186,2748,396,1368,396,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2189,2750,396,1163,396,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2210,2780,398,1375,398,1375,BUSINESS_DUPLICATE_DIFFERENT_ID
2217,2776,398,1370,398,1370,BUSINESS_DUPLICATE_DIFFERENT_ID
2219,2785,398,1376,398,1376,BUSINESS_DUPLICATE_DIFFERENT_ID
2220,2787,398,1144,398,1144,BUSINESS_DUPLICATE_DIFFERENT_ID
2225,2791,399,1163,399,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2227,2793,400,1368,400,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2271,2830,421,1163,421,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2274,2824,421,1368,421,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2281,2841,422,1368,422,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2282,2839,422,1163,422,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2289,2849,423,1368,423,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2291,2850,423,1163,423,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2306,2874,708,1163,708,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2309,2876,709,1368,709,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2310,2877,710,1163,710,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2313,2879,711,1368,711,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2353,2918,443,1163,443,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
